run_id,stage,stage_folder,experiment_type,completed_or_failed,total_flight_time_s,planned_path_length_m,actual_traveled_distance_m,minimum_distance_to_obstacle_m,safety_buffer_violation_count,perception_risk_detection_count,slow_down_event_count,local_replan_attempt_count,successful_local_replan_count,active_route_replacement_count,final_status,notes,run_dir
as_20260707_081327,static_astar,01_static_astar,astar_only_perception_disabled,completed,149.316,68.000,67.403,,0,0,0,0,0,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.86 m of an obstacle cell center.,outputs/01_static_astar/runs/as_20260707_081327
as_20260707_082541,static_astar,01_static_astar,astar_only_perception_disabled,completed,150.450,68.000,68.186,,0,0,0,0,0,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.85 m of an obstacle cell center.,outputs/01_static_astar/runs/as_20260707_082541
as_20260707_083759,static_astar,01_static_astar,astar_only_perception_disabled,completed,149.750,68.000,68.089,,0,0,0,0,0,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.88 m of an obstacle cell center.,outputs/01_static_astar/runs/as_20260707_083759
as_20260709_021426,static_astar,01_static_astar,astar_only_perception_disabled,completed,150.155,68.000,68.513,,0,0,0,0,0,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.80 m of an obstacle cell center.,outputs/01_static_astar/runs/as_20260709_021426
as_20260707_081606,perception_response,02_perception_response,perception_slow_down,completed,177.631,68.000,67.349,0.908,0,682,311,0,0,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.81 m of an obstacle cell center.,outputs/02_perception_response/runs/as_20260707_081606
as_20260707_082821,perception_response,02_perception_response,perception_slow_down,completed,174.563,68.000,67.744,0.854,0,671,296,0,0,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.82 m of an obstacle cell center.,outputs/02_perception_response/runs/as_20260707_082821
as_20260707_084038,perception_response,02_perception_response,perception_slow_down,completed,173.985,68.000,67.408,0.853,0,670,293,0,0,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.83 m of an obstacle cell center.,outputs/02_perception_response/runs/as_20260707_084038
as_20260707_081912,replan_log_only,03_replan_log_only,local_replan_log_only,completed,149.755,68.000,67.341,0.899,0,544,0,4,4,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.89 m of an obstacle cell center.,outputs/03_replan_log_only/runs/as_20260707_081912
as_20260707_083125,replan_log_only,03_replan_log_only,local_replan_log_only,completed,149.850,68.000,67.401,0.894,0,547,0,4,4,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.84 m of an obstacle cell center.,outputs/03_replan_log_only/runs/as_20260707_083125
as_20260707_084341,replan_log_only,03_replan_log_only,local_replan_log_only,completed,148.545,68.000,67.771,0.899,0,545,0,4,4,0,PASS,Near-boundary clearance warning: actual trajectory came within about 0.85 m of an obstacle cell center.,outputs/03_replan_log_only/runs/as_20260707_084341
as_20260707_082151,active_replan,04_active_replan,active_local_replan,completed,220.785,82.000,67.955,0.778,0,860,0,3,3,1,PASS,Target jumped from RWP06 to WP09 at t=90.01s; check target switching.; Near-boundary clearance warning: actual trajectory came within about 0.75 m of an obstacle cell center.,outputs/04_active_replan/runs/as_20260707_082151
as_20260707_083405,active_replan,04_active_replan,active_local_replan,completed,225.878,84.000,69.236,0.845,0,882,0,3,3,1,PASS,Target jumped from RWP06 to WP09 at t=93.67s; check target switching.; Near-boundary clearance warning: actual trajectory came within about 0.79 m of an obstacle cell center.,outputs/04_active_replan/runs/as_20260707_083405
as_20260707_084619,active_replan,04_active_replan,active_local_replan,completed,221.332,82.000,67.895,0.865,0,865,0,3,3,1,PASS,Near-boundary clearance warning: actual trajectory came within about 0.77 m of an obstacle cell center.,outputs/04_active_replan/runs/as_20260707_084619
as_20260713_065534,active_replan,04_active_replan,active_local_replan,completed,225.345,84.000,70.042,0.830,0,869,0,3,3,1,PASS,Near-boundary clearance warning: actual trajectory came within about 0.76 m of an obstacle cell center.,outputs/04_active_replan/runs/as_20260713_065534
as_20260713_070149,active_replan,04_active_replan,active_local_replan,completed,222.738,82.000,67.675,0.846,0,867,0,3,3,1,PASS,Near-boundary clearance warning: actual trajectory came within about 0.78 m of an obstacle cell center.,outputs/04_active_replan/runs/as_20260713_070149
as_20260713_070842,active_replan,04_active_replan,active_local_replan,completed,222.392,82.000,67.678,0.870,0,867,0,3,3,1,PASS,Near-boundary clearance warning: actual trajectory came within about 0.78 m of an obstacle cell center.,outputs/04_active_replan/runs/as_20260713_070842
